Kode,Nama,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,?-karoten,Karoten,Thiamin,Riboflavin,Niasin,Vitamin C,BDD,Olahan,Makanan,TKPI 2019
AP001,Nasi,56.7,180.0,3.0,0.3,39.8,0.2,0.2,25.0,27.0,0.4,1.0,38.0,0.1,0.6,0.0,0.0,0.0,0.05,0.1,2.6,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP002,Nasi tim,71.0,120.0,2.4,0.4,26.0,0.5,0.2,3.0,7.0,0.4,0.0,23.9,0.1,0.4,0.0,0.0,0.0,0.1,0.0,1.4,0.0,100.0,Olahan,Serealia,OKN-1992
AP003,Tapai beras,75.5,99.0,1.7,0.3,22.4,0.0,0.1,4.0,19.0,0.0,26.0,2.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Olahan,Serealia,KZGMI-2001
AP004,"Tepung beras, mentah",12.0,353.0,7.0,0.5,80.0,2.4,0.5,5.0,140.0,0.8,5.0,241.0,0.1,0.8,0.0,0.0,0.0,0.12,0.1,1.2,0.0,100.0,Olahan,Serealia,DABM-1964
AP005,Nasi beras merah,64.0,149.0,2.8,0.4,32.5,0.3,0.3,6.0,63.0,0.8,5.0,91.4,0.2,0.9,0.0,0.0,0.0,0.06,0.0,1.6,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP006,"Bihun, mentah",12.9,348.0,4.7,0.1,82.1,1.2,0.2,6.0,35.0,1.8,12.0,5.0,0.08,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,Olahan,Serealia,DABM-1964
AP007,Bihun goreng instan,9.0,381.0,6.1,3.9,80.3,0.0,0.7,266.0,151.0,2.9,928.0,0.0,0.0,0.0,58.0,0.0,400.0,0.37,0.0,0.0,0.0,100.0,Olahan,Serealia,KZGMS-1993
AP008,"Bihun Jagung, mentah",11.3,354.0,0.5,0.3,87.4,3.0,0.5,13.0,111.0,0.6,49.0,1.4,0.4,0.0,0.0,0.0,0.0,0.02,0.02,0.3,0.2,100.0,Olahan,Serealia,BKP
AP009,Nasi jagung,11.0,357.0,8.8,0.5,79.5,6.2,0.3,5.0,43.0,0.6,2.0,30.4,0.1,0.3,0.0,0.0,0.0,0.3,0.02,0.1,0.2,100.0,Olahan,Serealia,BKP
AP010,"Jagung muda, rebus",53.2,142.0,5.0,0.7,30.3,0.8,0.8,5.0,105.0,0.8,5.0,24.3,0.2,0.9,0.0,145.0,225.0,0.15,0.08,0.7,0.0,100.0,Olahan,Serealia,KZGPI-1990
